2026-02-02 15:46:30.809 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO -  Kmer矩阵比较工具|Kmer Matrix Comparison Tool
2026-02-02 15:46:30.811 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO - 文件1|File1: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:46:30.811 - INFO - 文件2|File2: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap2_group9_chr12_matrix.txt
2026-02-02 15:46:30.811 - INFO - 输出前缀|Output prefix: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique
2026-02-02 15:46:30.811 - INFO - 窗口大小|Window size: 100.00K
2026-02-02 15:46:30.811 - INFO - 
2026-02-02 15:46:30.811 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO -  步骤 1/4: 提取kmer序列集合|Step 1/4: Extract kmer sequence sets
2026-02-02 15:46:30.811 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO - 提取kmer序列|Extracting kmer sequences: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 16:24:13.778 - INFO -   已处理|Processed: 60.00M 行|lines
2026-02-02 16:24:29.697 - INFO -   已处理|Processed: 61.00M 行|lines
2026-02-02 16:24:45.610 - INFO -   已处理|Processed: 62.00M 行|lines
2026-02-02 16:25:01.532 - INFO -   已处理|Processed: 63.00M 行|lines
2026-02-02 16:25:11.541 - INFO -   处理完成|Processed: 63.69M 行|lines
2026-02-02 16:25:11.541 - INFO -   窗口数|Number of windows: 637
2026-02-02 16:25:11.541 - INFO - 写入统计结果|Writing statistics results: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique_file2_stats.txt
2026-02-02 16:25:11.559 - INFO -   写入完成|Write completed: 637 窗口|windows
2026-02-02 16:25:11.560 - INFO - 
2026-02-02 16:25:11.560 - INFO - ====================================================================================================
2026-02-02 16:25:11.560 - INFO -  分析完成|Analysis Completed Successfully
2026-02-02 16:25:11.560 - INFO - ====================================================================================================
2026-02-02 16:25:11.561 - INFO - 文件1特有kmer|Unique kmers in file1: 70.73M
2026-02-02 16:25:11.561 - INFO - 文件2特有kmer|Unique kmers in file2: 53.97M
2026-02-02 16:25:11.561 - INFO - 文件1统计结果|File1 statistics: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique_file1_stats.txt
2026-02-02 16:25:11.561 - INFO - 文件2统计结果|File2 statistics: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique_file2_stats.txt
2026-02-02 16:25:11.561 - INFO - 文件1样品数|File1 samples: 99
2026-02-02 16:25:11.561 - INFO - 文件2样品数|File2 samples: 99
2026-02-02 16:25:11.561 - INFO - 日志文件|Log file: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique.log
2026-02-02 16:25:11.561 - INFO - ====================================================================================================
